Code,Description,Theta_r,Theta_s,Alpha,Npar,Usedmodel
4031,UNSODA(lab),0.051998,0.428551,0.02507,1.316223,
4032,UNSODA(lab),0,0.407853,0.027288,1.258437,
4033,UNSODA(lab),0,0.406638,0.01044,1.151503,
4040,UNSODA(lab),0.00223,0.390736,0.005459,1.321407,
4041,UNSODA(lab),0.03384,0.394537,0.009349,1.37576,
4042,UNSODA(lab),0.040608,0.390719,0.002825,1.630573,
4043,UNSODA(lab),0,0.399325,0.003931,1.299548,
4050,UNSODA(lab),0.0735,0.443913,0.01755,1.985001,
4051,UNSODA(lab),0.035086,0.419735,0.020189,3.304301,
4052,UNSODA(lab),0.013118,0.330492,0.018761,1.848476,
4060,UNSODA(lab),0.000047,0.386561,0.012298,1.370867,
4061,UNSODA(lab),0.027829,0.303503,0.018119,2.16747,
4062,UNSODA(lab),0,0.311067,0.022965,1.390195,
4070,UNSODA(lab),0.067178,0.39895,0.003918,1.648935,
4071,UNSODA(lab),0,0.411574,0.005223,1.336599,
4080,UNSODA(lab),0,0.404261,0.003852,1.319153,
4081,UNSODA(lab),0.000002,0.391278,0.006118,1.263973,
4082,UNSODA(lab),0.004543,0.404512,0.006172,1.279682,
4090,UNSODA(lab),0.02338,0.413187,0.004213,1.475557,
4091,UNSODA(lab),0,0.39324,0.014433,1.25212,
4092,UNSODA(lab),0.000005,0.394644,0.005689,1.284649,
4100,UNSODA(lab),0.000001,0.381132,0.00406,1.270226,
4101,UNSODA(lab),0,0.383162,0.014449,1.150927,
4102,UNSODA(lab),0.000004,0.37318,0.013734,1.133547,
4110,UNSODA(lab),0.104051,0.381283,0.001701,1.764873,
4111,UNSODA(lab),0.079294,0.363693,0.001903,1.49437,
4112,UNSODA(lab),0.08011,0.419006,0.018376,1.378862,
4120,UNSODA(lab),0,0.514308,0.039654,1.090221,
4121,UNSODA(lab),0.000023,0.548555,0.006011,1.138173,
4130,UNSODA(lab),0.06277,0.377864,0.008038,1.818634,
4131,UNSODA(lab),0.004088,0.351258,0.010311,1.63751,
4132,UNSODA(lab),0.036033,0.322202,0.009676,4.276819,
4140,UNSODA(lab),0.05933,0.418768,0.020523,1.590635,
4141,UNSODA(lab),0.016148,0.414042,0.037271,1.485068,
4142,UNSODA(lab),0.022186,0.345885,0.018304,2.613533,
4150,UNSODA(lab),0.000003,0.424544,0.026104,1.281689,
4151,UNSODA(lab),0,0.362752,0.026574,1.389081,
4152,UNSODA(lab),0.022085,0.342626,0.015277,1.8233,
4160,UNSODA(lab),0,0.348287,0.038831,1.184726,
4161,UNSODA(lab),0.086824,0.361064,0.013505,1.534931,
4162,UNSODA(lab),0,0.448195,0.015539,1.237343,
4170,UNSODA(lab),0.065152,0.401879,0.011816,1.45932,
4171,UNSODA(lab),0.072932,0.38879,0.01099,1.486765,
4172,UNSODA(lab),0.052652,0.397026,0.010683,1.468243,
4180,UNSODA(lab),0.059985,0.395302,0.00431,1.702258,
4181,UNSODA(lab),0.010341,0.404754,0.013587,1.350026,
4182,UNSODA(lab),0.000001,0.411163,0.012286,1.305796,
4183,UNSODA(lab),0,0.389589,0.022112,1.142351,
4310,UNSODA(lab),0.239632,0.393638,0.007749,6.750339,
4311,UNSODA(lab),0.092966,0.272369,0.008642,7.998648,
4340,UNSODA(lab),0.144796,0.378608,0.023044,2.461003,
4341,UNSODA(lab),0.15987,0.385166,0.031369,3.002208,
4440,UNSODA(lab),0.10356,0.348171,0.020328,6.559927,
4441,UNSODA(lab),0.005276,0.328054,0.023572,4.390502,
4442,UNSODA(lab),0.073367,0.267535,0.021892,6.444891,
4443,UNSODA(lab),0.028097,0.303647,0.044014,6.998582,
4444,UNSODA(lab),0.068555,0.299283,0.022947,5.556348,
4450,UNSODA(lab),0.00356,0.338087,0.032961,1.114306,
4510,UNSODA(lab),0,0.413178,0.006827,1.293211,
4511,UNSODA(lab),0.3,0.411819,0.01768,1.485261,
4512,UNSODA(lab),0.3,0.411819,0.01768,1.485261,
4514,UNSODA(lab),0.3,0.411819,0.01768,1.485261,
4520,UNSODA(lab),0.015,0.354392,0.021001,4.923038,
4521,UNSODA(lab),0.015,0.354392,0.021001,4.923038,
4522,UNSODA(lab),0.015,0.354797,0.019296,7.83521,
4523,UNSODA(lab),0.015,0.354823,0.019298,7.83148,
4540,UNSODA(lab),0,0.435005,0.013125,1.291088,
4550,UNSODA(lab),0.112,0.433962,0.033742,2.665416,
4551,UNSODA(lab),0.149558,0.358491,0.030748,2.204121,
4552,UNSODA(lab),0.112641,0.358491,0.044887,2.255221,
4553,UNSODA(lab),0.207238,0.395836,0.112308,2.500629,
4560,UNSODA(lab),0.239942,0.490574,0.022121,1.745787,
4561,UNSODA(lab),0.224192,0.363989,0.152239,1.130787,
4562,UNSODA(lab),0.252173,0.396226,0.118043,1.771232,
4564,UNSODA(lab),0.10535,0.381847,0.031775,1.180874,
4570,UNSODA(lab),0.000001,0.406903,0.025753,1.148126,
4571,UNSODA(lab),0.000001,0.403749,0.01507,1.217296,
4572,UNSODA(lab),0.000039,0.401913,0.085319,1.142124,
4573,UNSODA(lab),0.188503,0.347053,0.999972,1.139312,
4574,UNSODA(lab),0.2187,0.31102,0.039426,1.424112,
4575,UNSODA(lab),0,0.41,0.998958,1.025841,
4580,UNSODA(lab),0.051737,0.452594,0.038078,2.036035,
4581,UNSODA(lab),0.061752,0.388679,0.02671,2.545376,
4582,UNSODA(lab),0.017281,0.358491,0.082863,1.391074,
4583,UNSODA(lab),0.02896,0.377355,0.020338,4.531441,
4590,UNSODA(lab),0,0.508106,0.093783,1.123441,
4591,UNSODA(lab),0.109195,0.607547,0.107715,1.178114,
4592,UNSODA(lab),0.091717,0.444187,0.021567,1.176898,
4600,UNSODA(lab),0.090857,0.466412,0.008923,1.152242,
4601,UNSODA(lab),0.000001,0.450399,0.008583,1.117095,
4602,UNSODA(lab),0.144,0.431158,0.004157,1.277781,
4610,UNSODA(lab),0.13481,0.445608,0.004838,1.235362,
4611,UNSODA(lab),0.002534,0.473543,0.008726,1.135455,
4612,UNSODA(lab),0.000001,0.376233,0.010892,1.133243,
4620,UNSODA(lab),0,0.413056,0.032607,1.109875,
4621,UNSODA(lab),0,0.454185,0.031804,1.103887,
4622,UNSODA(lab),0,0.456059,0.047438,1.100575,
4650,UNSODA(lab),0.029,0.381195,0.044166,2.16008,
4651,UNSODA(lab),0.059082,0.356887,0.046845,2.184243,
4660,UNSODA(lab),0.048723,0.435961,0.146489,1.485076,
4661,UNSODA(lab),0.037236,0.407802,0.101462,1.819386,
4670,UNSODA(lab),0,0.441371,0.005315,1.406317,
4672,UNSODA(lab),0.000001,0.391231,0.007283,1.150087,
4673,UNSODA(lab),0.11284,0.401322,0.001739,1.754198,
4680,UNSODA(lab),0.3,0.545635,0.003111,1.470186,
4681,UNSODA(lab),0,0.570543,0.001911,1.134869,
4690,UNSODA(lab),0.047684,0.389692,0.059201,1.330503,
4700,UNSODA(lab),0.220961,0.323295,0.01466,5.789711,
4710,UNSODA(lab),0.094028,0.370136,0.021631,2.503915,
4720,UNSODA(lab),0.04139,0.306966,0.040065,3.784165,
4770,UNSODA(lab),0,0.799415,0.079533,1.09943,
4780,UNSODA(lab),0.3,0.838,0.046816,1.381362,
4790,UNSODA(lab),0.151845,0.51283,0.014461,3.441748,
4791,UNSODA(lab),0.134676,0.453621,0.010843,3.652624,
4800,UNSODA(lab),0.3,0.659204,0.020724,1.696315,
4801,UNSODA(lab),0.209847,0.590429,0.013925,1.881787,
4810,UNSODA(lab),0.069,0.414978,0.041927,6.695263,
4940,UNSODA(lab),0,0.335849,0.047327,3.023286,
4941,UNSODA(lab),0,0.316981,0.038129,3.919645,
4950,UNSODA(lab),0,0.428318,0.013762,1.279704,

