labsampnum,db_13b,w0,w6clodVMW,w10cldVMW,w3cldVMW,w15l2VMW,COLEws,adod,cec7_cly,w15cly,result_source_key,latitude_decimal_degrees,longitude_decimal_degrees,lab_texture_class,sand_tot_psa,silt_tot_psa,clay_tot_psa,db_od,alpha,Ko,Ks,Lpar,npar,theta_r,theta_s,ten_npar,ten_alpha
03N03656,1.48,0.441509434,0.38776,0.37444,0.3552,0.17168,0.019,1.025,0.42,0.44,186817,35.1393623,-86.1911087,sil,6.4,67,26.6,1.57,-2.387942199,0.055859288,0.983317934,0.436028337,0.173947893,0.069955486,0.436594364,1.492615314,0.004093151
03N03657,1.29,0.513207547,0.42312,0.40893,0.38442,0.19866,0.045,1.032,0.28,0.41,186816,35.1393623,-86.1911087,sicl,5.7,57.1,37.2,1.49,-2.299276264,0.123144112,1.194690922,0.352035744,0.163685893,0.083389737,0.490569595,1.457759543,0.005020231
03N03658,1.39,0.475471698,0.39893,0.38781,0.36279,0.20016,0.027,1.025,0.24,0.42,186818,35.1393623,-86.1911087,sicl,9.7,55.7,34.6,1.54,-2.15864342,0.250347757,1.026855167,-0.007309687,0.136795096,0.076598437,0.460438828,1.370235125,0.006939954
03N03659,1.42,0.464150943,0.39618,0.38908,0.36636,0.19312,0.023,1.022,0.22,0.41,186819,35.1393623,-86.1911087,sicl,10.8,56.2,33,1.53,-2.283442291,0.130825442,0.956500147,0.267002614,0.152207439,0.074664833,0.453328352,1.419735491,0.005206642
03N03660,1.48,0.441509434,0.38332,0.38332,0.36852,0.29156,0.026,1.032,0.22,0.4,186820,35.1393623,-86.1911087,sic,7.6,43.7,48.7,1.61,-1.386556261,0.88894623,0.718216159,-4.901640794,0.068749612,0.109367546,0.450313279,1.171519743,0.041062344
03N03661,1.15,0.566037736,0.4416,0.42435,0.40365,0.16215,0.044,1.038,0.78,0.56,186821,35.0746651,-86.894165,sil,23.1,51.9,25,1.31,-2.592736203,-0.020906923,1.642445568,0.801030482,0.239276125,0.077580796,0.495505546,1.734906703,0.002554252
03N03662,1.44,0.456603774,0.37728,0.36432,0.34416,0.19296,0.02,1.034,0.6,0.48,186822,35.0746651,-86.894165,cl,21.1,50.9,28,1.53,-2.075998724,0.360068503,1.012827844,-0.247984978,0.12722174,0.068845429,0.434603287,1.340360868,0.008394625
03N03663,1.53,0.422641509,0.36567,0.35649,0.33966,0.25551,0.031,1.042,0.54,0.47,186823,35.0746651,-86.894165,cl,21.6,42.9,35.5,1.68,-1.466749535,0.867312565,0.678849149,-3.787768758,0.075826589,0.091658759,0.42015257,1.190766448,0.034138974
03N03664,1.36,0.486792453,0.45152,0.442,0.42432,0.32368,0.075,1.072,0.56,0.42,186824,35.0746651,-86.894165,c,16.3,27,56.7,1.69,-1.586701219,0.79582511,1.060643866,-4.437195158,0.063436857,0.093718887,0.499584508,1.157275761,0.025899941
03N03665,1.44,0.456603774,0.44784,0.44208,0.43056,0.36144,0.083,1.084,0.57,0.4,186825,35.0746651,-86.894165,c,17.5,20.2,62.3,1.83,-1.358514563,0.911675874,0.865806361,-7.237229999,0.054945644,0.108756384,0.479707312,1.134868767,0.043801142
03N03667,1.31,0.505660377,0.38121,0.36811,0.34977,0.13624,0.024,1.023,0.55,0.54,186827,35.0643349,-86.5913925,sil,14.8,66.1,19.1,1.42,-2.50050933,0.06485291,1.515755057,0.73152365,0.223600347,0.06180336,0.445365032,1.673402244,0.003158571
