Code,Description,Sand,Silt,Clay,Gravel,Bulkdensity,Porosity,Particledensity,Organicmatter,Organiccarbon,Theta10,Theta33,Theta1500,Textureclass,Theta_r_fitted,Theta_s_fitted,Alpha_fitted,Npar_fitted,Theta_r_Full,Theta_s_Full,Alpha_Full,N_Full,Theta_r_SSC,Theta_s_SSC,Alpha_SSC,N_SSC,Theta_r_SSCBD,Theta_s_SSCBD,Alpha_SSCBD,N_SSCBD
1053,UNSODA(lab),95.1,1.2,3.7,,1.54,,,,,,0.037846635,0.037753923,5,0.037752,0.340989,0.069813,3.573103,0.05028,0.36999,0.03638,3.961,0.05543,0.37329,0.03085,3.29362,0.05477,0.37724,0.03035,3.38255
1054,UNSODA(lab),97.2,0.3,2.5,,1.54,,,,,,0.029370366,0.029359087,5,0.029359,0.347531,0.072947,4.218953,0.04521,0.36928,0.0365,4.0268,0.05478,0.37344,0.03143,3.72106,0.05506,0.37559,0.02988,3.85104
1060,UNSODA(lab),93,5,2,,1.55,,,,,,0.067185832,0.066674749,5,0.066662,0.353489,0.039567,3.454086,0.06781,0.36544,0.03438,3.9197,0.04855,0.38043,0.03591,3.08975,0.0492,0.37105,0.03412,3.18352
1061,UNSODA(lab),91,5,4,,1.59,,,,,,0.052377197,0.052134668,5,0.05213,0.337037,0.044598,3.621651,0.05927,0.35336,0.03567,3.82251,0.05065,0.37795,0.03402,2.68362,0.04952,0.36174,0.03402,2.72245
1062,UNSODA(lab),88,5,7,,1.56,,,,,,0.069245246,0.068576797,4,0.06855,0.328911,0.047659,3.150477,0.07356,0.3655,0.03566,3.71996,0.05303,0.37529,0.03181,2.19289,0.0519,0.37483,0.03278,2.26721
1063,UNSODA(lab),93,3,4,,1.55,,,,,,0.045499872,0.045178088,5,0.04517,0.353549,0.04948,3.449182,0.05463,0.36606,0.03612,3.89633,0.05342,0.37542,0.03213,2.96023,0.05259,0.37435,0.0319,3.03056
1070,UNSODA(lab),92.8,5,2.2,,1.46,,,,,,0.078803253,0.075137969,5,0.074735,0.450522,0.058664,2.527243,0.07051,0.39333,0.03625,3.68444,0.04878,0.38015,0.0357,3.04669,0.05024,0.39856,0.0346,3.10252
1071,UNSODA(lab),91.8,3.5,4.7,,1.62,,,,,,0.060996665,0.060164799,5,0.060125,0.304326,0.048082,3.0386,0.06528,0.34921,0.0361,3.65441,0.05343,0.37534,0.03199,2.74899,0.05096,0.35352,0.03267,2.72907
1072,UNSODA(lab),92.5,2.2,5.3,,1.6,,,,,,0.052612603,0.051182702,5,0.051068,0.31801,0.060861,2.717401,0.05887,0.35581,0.03722,3.61918,0.05588,0.37301,0.03027,2.80486,0.05326,0.36046,0.03109,2.80353
1073,UNSODA(lab),96.4,0.6,3,,1.59,,,,,,0.032322999,0.031699138,5,0.031666,0.310964,0.065138,2.972811,0.04648,0.35645,0.03711,3.83743,0.0552,0.37326,0.0311,3.55142,0.05396,0.36056,0.03017,3.57827
1074,UNSODA(lab),97.3,0.2,2.5,,1.55,,,,,,0.025916024,0.024537357,5,0.0244,0.352453,0.089929,2.585965,0.04202,0.36657,0.0379,3.84521,0.05489,0.37329,0.03136,3.73722,0.05498,0.37244,0.02981,3.85491
1075,UNSODA(lab),94.1,0.6,5.3,,1.57,,,,,,0.051132948,0.049730574,5,0.049592,0.351642,0.08362,2.590924,0.05793,0.36609,0.0373,3.67749,0.05816,0.37071,0.02882,3.02554,0.05593,0.36986,0.02945,3.06206
1090,UNSODA(lab),78.5,16.5,5,,1.59,,,,,,0.117734247,0.076911399,4,0.043574,0.37696,0.051002,1.53078,0.04541,0.35372,0.05445,1.6901,0.03783,0.38742,0.04245,1.63542,0.03916,0.358,0.04381,1.71049
1091,UNSODA(lab),67,17,16,,1.63,,,,,,0.162193953,0.128733574,8,0.066099,0.304395,0.072575,1.284784,0.08886,0.35382,0.05138,1.68078,0.05284,0.38216,0.03044,1.37746,0.04932,0.36,0.03135,1.36192
